序号,项目阶段,模块,"关键字
(表名+问题)","问题描述
(详细报错代码)",优先级,问题类型,问题截图,提出人,跟进人,提出时间,完成时间,问题状态,问题原因,解决方案（记录提交脚本的版本号）,备注说明,补充截图1,补充截图2,补充截图3,补充截图4,补充截图5,补充截图6
156,内部测试,dwd,出货模型&存量模型,"存量和出货：新增逻辑“ 汇率表.汇率类型='M'”，删除对荷兰的单独处理
存量模型：新增币种字段，汇率（to_CNY）和汇率（to_USD），改为直接从dws_接单业绩模型取数",高,方案调整,,@陈迎颖,@李朝中,2026/1/6,,已完成,,,,,,,,,
157,系统开发,dws,dws_存量明细模型,"dws_存量明细模型采用dws_接单业绩模型为b表
注：之前已改，但不知道为什么没保存",高,方案调整,,@陈迎颖,@李新莲,2026/1/6,2026/1/8,已完成,,修改【dws_sd_inventory_detail_di-dws_存量明细模型】任务，如图1,,,,,,,
158,系统开发,dws,dws_存量明细模型和dws_存量明细模型_业绩分配新增字段,"dws_存量明细模型和dws_存量明细模型_业绩分配新增销售大区，销售战区，销售区域 名称
20250108：dws_存量明细模型已改--LXL
20250109：dws_存量明细模型_业绩分配已改-- LCZ",高,方案调整,,@陈迎颖,"@李朝中
@李新莲",2026/1/7,,已完成,,"1、修改【dws_sd_inventory_detail_di-dws_存量明细模型】任务ok --LXL 20260108
2、业绩未开始",,,,,,,
159,内部测试,dwd,ods_aps_escp_inf_datacenter_o_substitutmaterials_df表和dim_product_info_df表数据录入,ods_aps_escp_inf_datacenter_o_substitutmaterials_df表和dim_product_info_df表将造好的数据录入表中,高,方案调整,,@郑日天,"@郑日天
@饶嘉璇",2026/1/7,2026/1/7,已完成,已告知导数方式,,,,,,,,
160,系统开发,dws,dws_存量明细模型剔除字段,dws_存量明细模型暂时删掉产品系列字段,高,方案调整,,@陈迎颖,@李新莲,2026/1/7,2026/1/8,已完成,,"1、表【dws_sd_inventory_detail_di-dws_存量明细模型】删掉字段： product_series_code-产品系列编码,product_series_name-产品系列描述 
2、修改【dws_sd_inventory_detail_di-dws_存量明细模型】任务，如图1",,,,,,,
161,系统开发,dim,dim_PBI产品信息维表,新增字段,高,方案调整,,@邵炜杰,@刘洋,2026/1/7,2026/1/7,已完成,"ALTER TABLE dim.dim_product_info_df 
ADD COLUMN scene_type varchar(100) COMMENT '场景类型' AFTER product_mcm_type",,,,,,,,
162,系统开发,dws,dws_存量明细模型补充逻辑,dws_存量明细模型：中出货模型表关联前先排除场景标识为D开头的数据,高,方案调整,,@陈迎颖,@李新莲,2026/1/7,2026/1/8,已取消,目前订单明细表已做处理，这里不额外处理,修改【dws_sd_inventory_detail_di-dws_存量明细模型】任务,,,,,,,
163,系统开发,dim,dim_employee_info_df表增添字段【是否销售业务员】,dim_employee_info_df表增添字段【是否销售业务员】，SQL代码也已更改,高,方案调整,,@郑日天,@赵彦,2026/1/7,,已完成,,,,,,,,,
164,内部测试,dws,验收模型限定公司代码范围,验收明细模型限定公司范围：关联公司维，过滤不在公司维的相关数据,高,方案调整,,@吴美琪,@谭程俊,2026/1/7,2026/1/7,已完成,,,,,,,,,
165,内部测试,dwd,dwd_co_alt_gen_model_df表系统运行报错,dwd_co_alt_gen_model_df表跑数报错,高,无,,@郑日天,@李朝中,2026/1/7,,已完成,,,,,,,,,
166,内部测试,dwd,国内存量填报&国际存量填报-数据质量,"（ods_sap_erp_ztso_trace_df，ods_sap_erp_zsd_clxx_gj_df）两张表销售订单号应该互斥，但现在发现有以下销售订单号：
0000192979 0000192987 0000192968 在两张表同时存在
暂定解决办法，【订单执行状态】【未出货原因】【未出货原因类别】优先取国内表数，再取国际表数，最后取系统数据（与问题176一起改，现有逻辑按公司判断国内国际，不对，不需要判断）",高,源系统数据质量,,@陈迎颖,"@熊生压
@李朝中",2026/1/7,,已完成,,,,,,,,,
167,内部测试,dws,dws_存量明细模型和dws_存量明细模型_业绩-字段标准化,"dws_存量明细模型和dws_存量明细模型_业绩：
预计出货日期 目前用的是请求交货日期的编码，请改成预计出货日期的编码
20260108:dws_存量明细模型已改--LXL
20250109：dws_存量明细模型_业绩分配已改-- LCZ",高,标准化,,@陈迎颖,"@李朝中
@李新莲",2026/1/7,2026/1/8,已完成,,"1、修改【dws_sd_inventory_detail_di-dws_存量明细模型】任务--ok--LXL 20260108
2、业绩未开始",,,,,,,
168,内部测试,dim,"dim_日期, is_month_lastday字段值错误","月最后一天, 标识错误, 目前全是0",高,开发问题,,@赵彦,@谭程俊,2026/1/7,2026/1/7,已解决待复测,,,,,,,,,
169,系统开发,dws,dws_存量明细模型和dws_存量明细模型_业绩-字段标准化,"存量表的最后入库日期和出货表的最新入库日期含义一致，请将字段名称统一。涉及模型：dws_存量明细模型和dws_存量明细模型_业绩
目前最后入库日期的逻辑也有问题",高,标准化,,@陈迎颖,@李朝中,2026/1/7,,已完成,,1、修改【dws_sd_inventory_detail_di-dws_存量明细模型】任务,,,,,,,
170,内部测试,dwd,dwd_出货明细模型,国际出货数量计算的关联条件改为用交货单+行,高,方案调整,,@陈迎颖,@李朝中,2026/1/7,,已完成,,,,,,,,,
171,内部测试,dwd,dwd_订单明细模型\dws_接单模型,订单明细模型和接单模型的业务产品线逻辑调整,高,方案调整,,@吴美琪,@谭程俊,2026/1/7,2026/1/8,已完成,,,,,,,,,
172,内部测试,dws,dws_接单模型dws_sd_order_performance_df,接单模型排除国内照明是要同时满足国内且业务产品线=照明才排除,高,开发问题,,@吴美琪,@谭程俊,2026/1/7,2026/1/7,已完成,,,,,,,,,
173,内部测试,dwd,dwd_co_mat_price_df表数据与系统运行后数据不一致,dwd_co_mat_price_df表跑数后显示的结果不一致,高,"开发问题,需求确认",,@郑日天,@李朝中,2026/1/7,,已完成,"模型表对应表类型是主键模型，数据写入会根据主键去重，所以会看到描述情况
请确认：物料编码
mat_code
工厂编码
factory_code，主键是否符合业务场景和现有口径存在重复数据如何处理",,,,,,,,
174,内部测试,dws,dws_存量明细模型- 逻辑调整,"dws_存量明细模型：【库存状态】新增移动类型筛选（101,413）逻辑，关联条件同【最新入库日期】，可以直接沿用其关联条件",高,方案调整,,@陈迎颖,"@李朝中
@谭程俊",2026/1/7,,已完成,,,,,,,,,
175,内部测试,dwd,dws_存量明细模型,dws_存量明细模型：新增国际存量填报的逻辑，见右图,高,方案调整,,@陈迎颖,@李新莲,2026/1/7,2026/1/9,已完成,,"修改【dws_sd_inventory_detail_di-dws_存量明细模型】任务，修改取值逻辑

",,,,,,,
176,内部测试,ods,python任务,脚本报错需要抛出到任务这边，否则看不出任务是否运行失败,高,开发问题,,@饶嘉璇,@刘洋,2026/1/7,,已完成,,,,,,,,,
177,内部测试,dws,dws_验收模型,验收模型原来取接单模型改为取订单明细模型,中,方案调整,,@吴美琪,@吴美琪,2026/1/7,2026/1/7,已完成,,,,,,,,,
178,内部测试,ods,python任务,"数据库配置信息改引用服务器文件变量
import sys
import os
helper_path = '/data/dolphinscheduler/resources'
sys.path.insert(0,helper_path)
import config

# stream_laod
sr_be_http_host = config.sr_be_http_host()
sr_be_http_port = config.sr_be_http_port()
# mysql_connector
sr_config = config.sr_config()
详见补充截图1，测试&生产都需同步",中,标准化,,"@刘洋
@饶嘉璇",@赵彦,2026/1/7,,已解决待复测,,,,,,,,,
179,内部测试,ods,python任务,"数据库配置信息改引用服务器文件变量
import sys
import os
helper_path = '/data/dolphinscheduler/resources'
sys.path.insert(0,helper_path)
import config

# stream_laod
sr_be_http_host = config.sr_be_http_host()
sr_be_http_port = config.sr_be_http_port()
# mysql_connector
sr_config = config.sr_config()
详见补充截图1，测试&生产都需同步",中,标准化,,"@刘洋
@饶嘉璇",@刘洋,2026/1/7,2026/1/13,已解决待复测,配置文件的py脚本传到服务器/data/dolphinscheduler/resources目录,"import sys
import os
helper_path = '/data/dolphinscheduler/resources'
sys.path.insert(0,helper_path)
import config",,,,,,,
180,内部测试,ods,python任务,"数据库配置信息改引用服务器文件变量
import sys
import os
helper_path = '/data/dolphinscheduler/resources'
sys.path.insert(0,helper_path)
import config

# stream_laod
sr_be_http_host = config.sr_be_http_host()
sr_be_http_port = config.sr_be_http_port()
# mysql_connector
sr_config = config.sr_config()
详见补充截图1，测试&生产都需同步",中,标准化,,"@刘洋
@饶嘉璇",@李朝中,2026/1/7,,已解决待复测,,,,,,,,,
181,内部测试,ods,python任务,"数据库配置信息改引用服务器文件变量
import sys
import os
helper_path = '/data/dolphinscheduler/resources'
sys.path.insert(0,helper_path)
import config

# stream_laod
sr_be_http_host = config.sr_be_http_host()
sr_be_http_port = config.sr_be_http_port()
# mysql_connector
sr_config = config.sr_config()
详见补充截图1，测试&生产都需同步",中,标准化,,"@刘洋
@饶嘉璇",@谭程俊,2026/1/7,2026/1/13,已解决待复测,,,,,,,,,
182,内部测试,dws,dws_存量明细模型新增字段,dws_存量明细模型新增销售部门，销售组字段,高,方案调整,,@陈迎颖,@李新莲,2026/1/7,2026/1/8,已完成,,修改【dws_sd_inventory_detail_di-dws_存量明细模型】任务,,,,,,,
183,内部测试,dwd,dwd_出货明细模型,【销售订单号_含抛转】有空值,高,开发问题,,@陈迎颖,@陈迎颖,2026/1/7,,已完成,,,,,,,,,
184,内部测试,dwd,dwd_出货明细模型,查询时数据量符合预期，但模型数据执行后写入条数减少,高,方案调整,,@陈迎颖,"@李朝中
@饶嘉璇",2026/1/7,2026/1/9,已完成,这几个字段值超长，应该是因为设置了关闭严格模式，导致程序没有报错,"ALTER TABLE dwd.dwd_sd_shipment_detail_df MODIFY COLUMN payment_method varchar(2000) COMMENT '付款方式';
ALTER TABLE dwd.dwd_sd_shipment_detail_df MODIFY COLUMN project_text varchar(2000) COMMENT '项目文本';
ALTER TABLE dwd.dwd_sd_shipment_detail_df MODIFY COLUMN warranty_period varchar(2000) COMMENT '质保期';",,,,,,,
185,内部测试,dwd,dwd_出货明细模型,dwd_出货明细模型：国际出货数量的计算添加销售订单的关联条件,高,方案调整,,@陈迎颖,@李朝中,2026/1/9,,已完成,,,,,,,,,
186,,dwd,dwd_出货明细模型,"存在出货数量大于订单数量的情况
原因：SAP历史未设置强校验，目前已设置。
结论：暂时不用管这些数据
查出货模型： order_type_code in ('ZMHH','ZMRE','ZMCE') AND unshipment_qty>0 AND scenario_tag =''",高,源系统数据质量,,@陈迎颖,@熊生压,2026/1/9,,已完成,,,,,,,,,
187,内部测试,dwd,dwd_出货明细模型,"销售订单号0000125882 测试未出货数量 目前订单数量和出货数量一致，但ZSD157为负数
查原因：1. ZSD157对未出货的逻辑判定有问题",高,源系统数据质量,,@陈迎颖,@刘飞虎,2026/1/9,,暂挂,,,,,,,,,
188,内部测试,dwd,dwd_co_alt_gen_model_df数据未生成（空白）,dwd_co_alt_gen_model_df表没有数据，中台运行后发现报错（参考截图1）,高,方案调整,,@郑日天,@李朝中,2026/1/7,,已完成,,"请确认模型主键长度问题：
starrocks库表主键模型对主键字段字节长度有限制，现在这两个字段的复合主键字节长度超过了127b限制，暂先把表改为明细模型，数据正常写入@郑日天",,,,,,,
189,内部测试,dws,dws_验收模型dws_fin_acceptance_detail_df,验收模型新增是否内部关联客户字段标签，重新写客户是否内部关联客户的逻辑，不能直接取订单的，验收这块因为海外子公司没有单独的验收单，所以洲明卖给海外子公司的要计入验收业绩,高,方案调整,,@吴美琪,@谭程俊,2026/1/7,2026/1/12,已完成,,,,,,,,,
190,内部测试,dws,dws_验收模型_业绩分配dws_fin_acceptance_with_perf_alloc_df,dws_验收模型_业绩分配新增过滤内部关联客户逻辑,高,方案调整,,@吴美琪,@吴美琪,2026/1/7,,已完成,,,,,,,,,
191,内部测试,ods,调度报错,"生产环境调度
1、sap-erp：ZTFI057、ZZMARA授权问题
具体错误信息为：com.ibm.db2.jcc.am.SqlSyntaxErrorException: DB2 SQL Error: SQLCODE=-551, SQLSTATE=42501, SQLERRMC=DB2USER;SELECT;SAPPRD.ZTFI057, DRIVER=4.11.77
2、plm：pdm11.View_Unilumin_Hone_Parts_Classification来源视图问题
3、aps：ESCP_INF_DATACENTER_O_SubstitutMaterials，没生产环境",高,集成问题,,@饶嘉璇,"@熊生压
@沈泰祥、@刘培
@李观琦",2026/1/7,2026/1/9,进行中,"1、生产环境已解决，测试环境突然授权无效了，已恢复。
2、沈老师已解决。
3、暂时对接APS测试环境，待APS生产环境上线后切换（待跟进）",,,,,,,,
192,内部测试,ods,生产环境ehr接口,生产环境ehr接口凌晨执行到现在,高,调度相关,,@饶嘉璇,@赵彦,2026/1/8,,已解决待复测,"可能因为生产、测试环境调度冲突
可能因为消息内容太大","已调整职位userid传入个数,300调整为200
目前没发现卡住",,,,,,,
193,内部测试,dwd,dws_出货业绩分配模型,dws_出货业绩分配模型：条数应为392037，现在是392034,高,"方案调整,开发问题",,@陈迎颖,@李朝中,2026/1/9,,已完成,,,,,,,,,
194,内部测试,dws,dws_存量业绩分配模型,dws_存量业绩分配模型，多了是否下单业务员字段,高,开发问题,,@陈迎颖,@李朝中,2026/1/9,,已完成,,,,,,,,,
195,内部测试,报表,指标录入表_周计划录入表-数据问题,"1. 应该赋值 国际 而不是null
2. 月度预估收入，存在销售区域及业务线为空情况",高,"开发问题,源系统数据质量",,@陈迎颖,@刘洋,2026/1/8,2026/1/8,已完成,,,,,,,,,
,内部测试,dws,dws_存量明细模型,【预计出货日期】【PMC变更日期】【运输方式】代码中剔除公司判断的逻辑,高,开发问题,,@陈迎颖,@李朝中,2026/1/9,,已完成,,,,,,,,,
197,内部测试,dws,dws_存量明细模型,存量明细模型这里的逻辑 文档里未体现,高,标准化,,@陈迎颖,@李朝中,2026/1/9,,已完成,脚本自测使用,,,,,,,,
198,内部测试,dws,dws_标准收入成本模型,"1、限制科目范围时需要转换科目编码的字段类型
2、新增业务产品线字段
3、新增公司代码范围限制只获取全融合的公司
4、新增订单明细模型关联时不需要公司代码关联，只需要订单号关联，订单行号关联时需要转换字段类型关联",高,开发问题,,@吴美琪,@吴美琪,2026/1/8,,已完成,,,,,,,,,
199,内部测试,dws,"业绩分配比例表
dwd_sd_performance_allocation_ratio_df",追加销售区域名称、销售大区名称、销售战区名称字段,高,方案调整,,@吴美琪,@李新莲,2026/1/8,2026/1/8,已完成,,表【dwd.dwd_sd_performance_allocation_ratio_df】新增字段,,,,,,,
200,内部测试,报表,损耗率填报表,新增委外成本字段及表样调整,高,方案调整,,@邵炜杰,@蔡岸榕,2026/1/8,2026/1/8,已完成,,,,,,,,,
201,内部测试,报表,主数据-各系统账号信息填报表调整修改,"1.【账号类型】字段展示中文描述
2.增加【账号类型】和【账号状态 Y:启用 N:禁用】这两个字段的筛选器
3.该填报表的导入功能实现
4.账号和姓名筛选器出现不属于该筛选器的选项，可能是联动出现问题",高,方案调整,,@郑日天,@蔡岸榕,2026/1/8,2026/1/13,已完成,,,,,,,,,
202,内部测试,dws,"接单模型-业绩分配
dws_sd_order_performance_alloc_df",业绩分配比例表追加了区域名称、大区名称、战区名称字段，优先取业绩分配比例表，否则取接单模型表的逻辑修订,高,映射问题,,@吴美琪,@吴美琪,2026/1/8,,已完成,,,,,,,,,
203,内部测试,dwd,dwd_产品成本计算参数,填报逻辑调整，用户要求按照PCI-BOM编码维护损耗率、制费率、委外成本信息,高,方案调整,,@邵炜杰,@李新莲,2026/1/8,2026/1/9,已完成,数据中台运行报错---有为空的数据,"修改任务&表结构：dwd_co_product_cost_param_df


进数时增加不为空的判断",,,,,,,
204,内部测试,dwd,dwd_订单明细模型,订单最新日期逻辑修订：除了ZB2B\ZMRE\ZMCE\ZMDR订单类型外，其他的订单类型取第一次审批日期，如果没有第一次审批日期则为空,高,方案调整,,@吴美琪,@吴美琪,2026/1/8,,已完成,,,,,,,,,
205,内部测试,dwd,dwd_报价BOM生成,"1.8与秦总沟通后确认逻辑
1. 需新增字段用于判断不同模型数据
2. 委外成本直接由成本工程师录入，不再通过逻辑判断，修改为直接取数",高,方案调整,,@邵炜杰,@李新莲,2026/1/8,2026/1/9,已完成,,"修改任务&表结构：dwd_co_quotation_bom_df

",,,,,,,
206,系统开发,系统,分区表修改副本数,"ALTER TABLE ods.ods_sap_bpc_zhone_get_model_data_02_u_001_act03_di  SET (""replication_num"" = ""3"");
SQL 错误 [1064] [42000]: Partition does not exist. name: ods_sap_bpc_zhone_get_model_data_02_u_001_act03_di",低,优化项,,@赵彦,@刘洋,2026/1/8,2026/1/13,已解决待复测,修改分区表的命令不同,,,,,,,,
207,系统开发,dws,dws_标准收入成本模型,dws_标准收入成本模型和dws_标准收入成本模型_业绩分配模型新增产品线字段,高,方案调整,,@吴美琪,@吴美琪,2026/1/8,,已完成,,,,,,,,,
208,内部测试,报表,损耗率填报表问题,"1.产品族列取值错误，取的不是产品族，取的是产品线
2.填报的小数位数最多只有两位，不符合要求（4位）
3.表单未实现按主键去重
4.列值未与筛选器统一（筛选器是PCI-BOM 列值是PCI描述）
5.数据导入后列名称会变化混乱
6.筛选器中租赁分销出现了两次
(截图均在补充截图中)",高,开发问题,,@郑日天,@蔡岸榕,2026/1/8,2026/1/9,已完成,,,,,,,,,
209,系统开发,dwd,dwd_替代情况生成结果表,调整物料分类内容,中,方案调整,,@邵炜杰,@李朝中,2026/1/8,2026/1/9,已完成,,"修改任务：dwd_co_alt_gen_model_df

",,,,,,,
210,内部测试,报表,制费率填报表问题,"1.填报的小数位数最多只有两位，不符合要求（4位）
2.表单未实现按主键去重
3.列值未与筛选器统一（筛选器是PCI-BOM 列值是PCI描述）
4.数据导入后列名称会变化混乱
5.筛选器中租赁分销出现了两次
6.分销的筛选器进行筛选后没有区分出固装分销和租赁分销
7.模型中增添产品类型（模组整机）字段
(截图均在补充截图中)",高,开发问题,,@郑日天,@蔡岸榕,2026/1/9,2026/1/9,已完成,,,,,,,,,
211,内部测试,报表,工厂供货比例填报表问题,"1.填报的小数位数最多只有两位，不符合要求（4位）
2.列值未与筛选器统一（筛选器是产品族列值是产品组）
3.筛选器中租赁分销出现了两次
4.分销的筛选器进行筛选后没有区分出固装分销和租赁分销
(截图均在补充截图中)",高,开发问题,,@郑日天,@蔡岸榕,2026/1/9,2026/1/9,已完成,,,,,,,,,
212,内部测试,报表,制费率基线值填报表问题,"1.填报的小数位数最多只有两位，不符合要求（4位）
2.导入数据会导致报表出现大量空行，提交数据后数据消失，且未录入制费率表
(截图均在补充截图中)",高,开发问题,,@郑日天,@蔡岸榕,2026/1/9,2026/1/9,已完成,,,,,,,,,
213,内部测试,报表,基准价调整值填报表问题,"1.数据版本筛选器删除
2.调整值无法填写负数
3.数据无法导入，且报表出现异常框格（大框格）
4.增设销售分摊费用比例、管理分摊费用比例、研发分摊费用比例这三个字段
5.列值未与筛选器统一（筛选器是PCI-BOM 列值是PCI描述）
(截图均在补充截图中)",高,开发问题,,@郑日天,@蔡岸榕,2026/1/9,2026/1/9,已完成,,,,,,,,,
214,系统开发,dwd,dwd_单层BOM替换明细,"1.8与秦总沟通后确认逻辑
1. 需新增字段用于判断不同模型数据",高,方案调整,,@邵炜杰,@李新莲,2026/1/9,2026/1/9,已解决待复测,,"修改任务&表结构：dwd_co_bottom_bom_df

",,,,,,,
215,系统开发,dwd,dwd_产品单位成本计算,"1.8与秦总沟通后确认逻辑
1. 新增源表，获取分销模组计算数据
2. 新增分销模组计算数据关联条件
3. 新增分销模组计算数据字段及筛选逻辑
4. 新增用于区分不同模型的判断逻辑字段取数
5. 成本、制费计算公式调整",高,方案调整,,@邵炜杰,@李新莲,2026/1/9,2026/1/9,已解决待复测,,"修改任务&表结构：dwd_co_product_unit_cost_df

",,,,,,,
216,内部测试,报表,产品最高测算成本展示表问题,"1.数据版本筛选器删除
2.PCI-BOM的筛选器与PCI描述的筛选器无法做到同时选择，级联出现问题（比如我先点击选择一个描述，之前选择的PCI-BOM筛选器会被清空）",高,开发问题,,@郑日天,@蔡岸榕,2026/1/9,2026/1/9,已完成,,,,,,,,,
217,内部测试,报表,产品测算成本展示表问题,"1.数据版本筛选器删除
2.PCI-BOM的筛选器与PCI描述的筛选器无法做到同时选择，级联出现问题（比如我先点击选择一个描述，之前选择的PCI-BOM筛选器会被清空）
3.表名错误（产品则算）",高,开发问题,,@郑日天,@蔡岸榕,2026/1/9,2026/1/9,已完成,,,,,,,,,
218,内部测试,报表,产品测算成本明细表-单层问题,"1.数据版本筛选器删除
2.PCI-BOM的筛选器与PCI描述的筛选器无法做到同时选择，级联出现问题（比如我先点击选择一个描述，之前选择的PCI-BOM筛选器会被清空）
3.表名错误（基准价调整值填报表单层）",高,开发问题,,@郑日天,@蔡岸榕,2026/1/9,2026/1/9,已完成,,,,,,,,,
219,内部测试,报表,分摊费用比例填报表问题,"1.填报数据时报错
2.分摊比例不为1报错（该表不需要分摊比例相加为1的校验规则）
3.填报的小数位数最多只有两位，不符合要求（4位）",高,开发问题,,@郑日天,@蔡岸榕,2026/1/9,2026/1/9,已完成,,,,,,,,,
220,内部测试,报表,分销模组-制费填报表数据异常,该表数据应该取自《dim_PBI产品信息维表》，但是有部分数据不是《dim_PBI产品信息维表》的数据,高,开发问题,,@郑日天,@蔡岸榕,2026/1/9,2026/1/9,已完成,,,,,,,,,
221,内部测试,报表,工程服务价格填报表问题,"1.导入数据后，提交数据时报错
2.偏差上浮率字段允许大于1且填报的小数位数允许四位",高,开发问题,,@郑日天,@蔡岸榕,2026/1/9,2026/1/9,已完成,,,,,,,,,
222,内部测试,ods,"损耗率填报表
制费率填报表",填报表字段调整，需重新抽取,高,方案调整,,@邵炜杰,@李新莲,2026/1/9,2026/1/9,已解决待复测,,"修改任务&表结构：ods_bi_report_fr_loss_rate_df
修改任务&表结构：ods_bi_report_fr_manu_fee_rate_df",,,,,,,
223,内部测试,dwd,"dwd_出货明细模型
dws_出货明细模型_业绩分配
dws_存量明细模型
dws_存量明细模型_业绩分配","参考如下SQL，修改付款方式、项目文本、质保期的长度：
ALTER TABLE dwd.dwd_sd_shipment_detail_df MODIFY COLUMN payment_method varchar(2000) COMMENT '付款方式';
ALTER TABLE dwd.dwd_sd_shipment_detail_df MODIFY COLUMN project_text varchar(2000) COMMENT '项目文本';
ALTER TABLE dwd.dwd_sd_shipment_detail_df MODIFY COLUMN warranty_period varchar(2000) COMMENT '质保期';",高,方案调整,,@饶嘉璇,@李朝中,2026/1/9,2026/1/9,已解决待复测,,,,,,,,,
224,内部测试,dm,dm_周报实际数,对于产品族、产品线字段修订字段名为rd_前缀，表示研发后端字段；新增产品线名称字段，表示前端产品线归属,高,方案调整,,@吴美琪,@谭程俊,2026/1/9,2026/1/9,已完成,,,,,,,,,
225,内部测试,dwd,dwd_报价BOM生成表出现问题,跑数后中台和数据库数据量不一致，调整字段条件为主键汇总，调整内容参考截图1,高,功能调整,,@郑日天,@谭程俊,2026/1/9,2026/1/12,已完成,"主键有重复数据，重复的都是id列不同，其他列相同：select * from  ods.ods_plm_bom_item_df  WHERE 
     factory_code IN ('2020', 'B010')and (product_number = 'CVP-P100203KM-51CR' AND part_number = '610-CB2580-ZS' AND factory_code = '2020' AND item_no = 90 AND parent_number = '10M-104030-03-MV')
   OR (product_number = 'CVP-P100203KM-51CR' AND part_number = '43A36-Y0000012' AND factory_code = '2020' AND item_no = 40 AND parent_number = '10M-104030-03-MV')
   OR (product_number = 'CVP-P100203KM-51CR' AND part_number = '200-A02015-01-UR' AND factory_code = '2020' AND item_no = 20 AND parent_number = '10M-104030-03-MV')
   OR (product_number = 'CVP-P100203KM-51CR' AND part_number = '433-T7P801-B1-R' AND factory_code = '2020' AND item_no = 70 AND parent_number = '10M-104030-03-MV')
   OR (product_number = 'CVP-P100203KM-51CR' AND part_number = '610-CB2580-ZS' AND factory_code = '2020' AND item_no = 80 AND parent_number = '10M-104030-03-MV')
   OR (product_number = 'CVP-P100203KM-51CR' AND part_number = '241-APE242-01-UR' AND factory_code = '2020' AND item_no = 30 AND parent_number = '10M-104030-03-MV')
   OR (product_number = 'CVP-P100203KM-51CR' AND part_number = '400-TP2217-00-R' AND factory_code = '2020' AND item_no = 50 AND parent_number = '10M-104030-03-MV')
   OR (product_number = 'CVP-P100203KM-51CR' AND part_number = '70D-0GFJ0A-TP' AND factory_code = '2020' AND item_no = 140 AND parent_number = '10M-104030-03-MV')
   OR (product_number = 'CVP-P100203KM-51CR' AND part_number = '20002-Y0000080' AND factory_code = '2020' AND item_no = 10 AND parent_number = '10M-104030-03-MV')
   OR (product_number = 'CVP-P100203KM-51CR' AND part_number = '24108-Y0000003' AND factory_code = '2020' AND item_no = 60 AND parent_number = '10M-104030-03-MV')
   ORDER BY item_no,product_number,factory_code,product_number,part_number,parent_number,part_level ASC;
   ;此处id没业务意义的话，主键去重的数据量1366就是对的，待业务确认",存在一个产品下用到两种相同的半成品的情况，相同物料不能去重，需要调整成按照主键汇总,,,,,,,
226,内部测试,dwd,dwd_单层BOM替换明细,字段筛选条件更新，进针对有替换的非原始物料进行标记,高,功能调整,,@邵炜杰,@谭程俊,2026/1/9,,已解决待复测,,,,,,,,,
227,内部测试,ods,调度报错,生产环境，ods_sap_erp任务流执行报错，其中是任务 ods_sap_erp_zhone_get_bseg_di 报错：OutOfMemoryError: GC overhead limit exceeded,高,集成问题,,@李新莲,@饶嘉璇,2026/1/12,2026/1/12,已完成,,"1、修改任务的JVM配置（4/4调整成4/10）
2、调整任务流中的执行顺序，将有运行问题的任务置底，避免因为任务报错，其它串行任务未运行的情况，点击保存
3、测试ods_sap_erp，从报错节点开始执行，观察能否执行完成
4、提交ods_all，后续持续每日观察",,,,,,,
228,内部测试,dwd,dwd_报价BOM生成,字段取数有误，与dim字段内容没有对应上,高,开发问题,,@邵炜杰,@谭程俊,2026/1/12,,已完成,错位是李新莲老师加维表字段放错位置，offering放product_mcm_type后，已修复,,,,,,,,
229,内部测试,ods,sap-erp抽取任务,"1、对于源字段默认值为空格的字段，进行去空格处理
2、抽取部分数据进行核对",高,集成问题,,"@吴美琪
@饶嘉璇","@李新莲
@赵彦",2026/1/12,,进行中,设置请求参数，详见右侧,https://docs.mirrorship.cn/zh/docs/3.1/sql-reference/sql-statements/loading_unloading/STREAM_LOAD/#%E8%AE%BE%E7%BD%AE-skip_headertrim_spaceenclose-%E5%92%8C-escape,,,,,,,
230,内部测试,报表,"损耗率填报表
制费率填报表",填写后提交提示成功，但重新查询后没有数据,高,开发问题,,@邵炜杰,@蔡岸榕,2026/1/12,2026/1/12,已完成,,,,,,,,,
231,内部测试,报表,"损耗率填报表
制费率填报表",未增加数据的筛选,高,开发问题,,@邵炜杰,@蔡岸榕,2026/1/12,2026/1/12,已完成,,,,,,,,,
232,内部测试,dwd,dwd_报价BOM生成,数据未获取,高,开发问题,,@邵炜杰,@谭程俊,2026/1/12,2026/1/12,已完成,,,,,,,,,
233,内部测试,报表,年初目标/计划数据未录入前的空值处理,年初目标一般是1月底才会确定，年度目标确定后才会编制计划，故1月份目标和计划数会有一段时间为空，用户希望在未填报目标/计划之前隐藏列不展示/或者展示列显示【待定】而非空值,高,优化项,,尹雅媛,@佘伟萍,2026/1/9,,未开始,需雅媛总与王总沟通后确定处理方案,,,,,,,,
234,内部测试,报表,上年同期收入取值调整,"《指标录入表_季度收入预估补录表》&《展示表_集团周报》-【上年同期收入】：
目前：取筛选器日期-1年的同期年累计收入，比如筛选20250802取20240802；
调整：取筛选器日期-1年的同月份月底年累计收入，比如筛选20250802取20240831；",高,优化项,,尹雅媛,@佘伟萍@刘洋,2026/1/12,,已解决待复测,业务需求,已修改设计文档,,,,,,,
235,内部测试,报表,填报表增加合计行,"填报表增加合计行：
1、指标录入表_年度目标录入表
2、指标展示表_年度目标滚动计算表
3、指标录入表_月度保底目标录入",高,优化项,,@佘伟萍,@刘洋,2026/1/12,2026/1/12,已完成,目标录入到业务员粒度，增加合计行方便录入/调整时检查合计值是否与部门目标一致,已修改设计文档,,,,,,,
